"","ano","uf","pop_branca","pop_homem","pop_mulher","pop_evangelica"
"1","2000","Acre",10993884,18300414,18026712,683120
"3","2000","Alagoas",62947434,90022284,94036206,1543700
"5","2000","Amapá",8268018,15551844,15450204,535290
"7","2000","Amazonas",44432586,92043732,90896718,3565702
"9","2000","Bahia",215337606,422301726,429948420,8994228
"11","2000","Ceará",181317444,237976068,247715490,3709118
"13","2000","Distrito Federal",65515428,63788670,68875752,2401724
"15","2000","Espírito Santo",99060720,100336236,102167934,4660200
"17","2000","Goiás",165693000,162320268,163602648,5982774
"19","2000","Maranhão",98859816,184370934,185253354,3929058
"21","2000","Mato Grosso",71346066,82232304,78347280,2512848
"23","2000","Mato Grosso do Sul",73874064,67185888,67459062,2271888
"25","2000","Minas Gerais",627725010,578634342,590452302,14705640
"27","2000","Pará",105272508,203558982,198802032,6692066
"29","2000","Paraíba",96141342,109645404,115849470,1810134
"31","2000","Paraná",482014896,308502678,314766012,9548636
"33","2000","Pernambuco",211959858,250651500,267581556,6478306
"35","2000","Piauí",49242270,91814250,94028088,1042840
"37","2000","Rio de Janeiro",515096670,450946782,489690366,19091450
"39","2000","Rio Grande do Norte",76718136,89108646,92514642,1497044
"41","2000","Rio Grande do Sul",575981868,325768410,339243630,8778944
"43","2000","Rondônia",38356890,45960420,43693254,2242514
"45","2000","Roraima",5212614,10678866,10207560,438280
"47","2000","Santa Catarina",312580092,174110970,175401402,4856294
"49","2000","São Paulo",1711639380,1182005154,1233942732,38264094
"51","2000","Sergipe",36782262,57181344,59260938,795860
"53","2000","Tocantins",23010042,38417676,36715866,1124926
"2","2010","Acre",11234124,24097920,23991000,1272276
"4","2010","Alagoas",63434778,98913606,105185256,2741812
"6","2010","Amapá",10424304,21924870,21910218,1014896
"8","2010","Amazonas",48528348,114893526,113518218,5890886
"10","2010","Bahia",202312902,451477884,468101304,13201572
"12","2010","Ceará",175637814,270709626,283908240,6418032
"14","2010","Distrito Federal",70413552,80294478,87596454,3291450
"16","2010","Espírito Santo",97116360,113296062,117192636,6515154
"18","2010","Goiás",163289214,195109398,198411708,8685702
"20","2010","Maranhão",94511274,214524618,217582794,6361264
"22","2010","Mato Grosso",73917228,100957890,97588062,4089094
"24","2010","Mato Grosso do Sul",74991510,79281312,80482644,3310828
"26","2010","Minas Gerais",579602892,631436520,653656410,20398220
"28","2010","Pará",107400546,250250286,246365856,11385064
"30","2010","Paraíba",98163582,119725650,127426002,2941324
"32","2010","Paraná",480297972,336079128,348987342,12130692
"34","2010","Pernambuco",210762024,277332594,299810742,9582860
"36","2010","Piauí",49627974,100550538,104230830,1720470
