"ano";"cod_mun";"homicidio";"suicidio";"armas";"drogas";"alcool"
"1100000";2000;1100000;0;0;0;0;0
"1100015";2000;1100015;3;0;0;0;4
"1100023";2000;1100023;44;0;0;0;3
"1100031";2000;1100031;1;0;0;0;1
"1100049";2000;1100049;10;0;0;0;3
"1100056";2000;1100056;2;0;0;0;0
"1100064";2000;1100064;1;0;0;0;0
"1100072";2000;1100072;1;0;0;0;0
"1100080";2000;1100080;4;0;0;0;0
"1100098";2000;1100098;6;0;0;0;1
"1100106";2000;1100106;7;0;0;0;1
"1100114";2000;1100114;16;0;1;0;0
"1100122";2000;1100122;25;0;0;0;2
"1100130";2000;1100130;6;0;0;0;1
"1100148";2000;1100148;1;0;1;0;0
"1100155";2000;1100155;8;0;1;0;2
"1100189";2000;1100189;7;0;0;0;0
"1100205";2000;1100205;204;0;2;0;15
"1100254";2000;1100254;2;0;0;0;0
"1100262";2000;1100262;0;0;0;0;0
"1100288";2000;1100288;9;0;1;0;0
"1100296";2000;1100296;2;0;0;0;0
"1100304";2000;1100304;19;0;3;0;0
"1100320";2000;1100320;7;0;0;0;0
"1100338";2000;1100338;2;0;0;0;0
"1100346";2000;1100346;3;0;1;0;0
"1100379";2000;1100379;0;0;0;0;0
"1100403";2000;1100403;2;0;0;0;0
"1100452";2000;1100452;9;0;1;0;0
"1100502";2000;1100502;0;0;0;0;0
"1100601";2000;1100601;2;0;0;0;0
"1100700";2000;1100700;15;0;0;0;0
"1100809";2000;1100809;0;0;0;0;0
"1100908";2000;1100908;0;0;1;0;0
"1100924";2000;1100924;6;0;0;0;0
"1100940";2000;1100940;6;0;0;0;0
"1101005";2000;1101005;3;0;0;0;0
"1101104";2000;1101104;0;0;0;0;0
"1101203";2000;1101203;2;0;0;0;0
"1101302";2000;1101302;3;0;0;0;0
"1101401";2000;1101401;8;0;0;0;0
"1101435";2000;1101435;0;0;0;0;0
"1101450";2000;1101450;0;0;0;0;0
"1101476";2000;1101476;0;0;0;0;0
"1101484";2000;1101484;1;0;0;0;0
"1101492";2000;1101492;5;0;0;0;0
"1101500";2000;1101500;4;0;0;0;1
"1101559";2000;1101559;0;0;0;0;0
"1101609";2000;1101609;9;0;0;0;1
"1101708";2000;1101708;1;0;0;0;0
"1101757";2000;1101757;0;0;0;0;1
"1200013";2000;1200013;4;0;0;0;1
"1200054";2000;1200054;0;0;0;0;1
"1200104";2000;1200104;1;0;0;0;1
"1200138";2000;1200138;0;0;0;0;0
"1200179";2000;1200179;1;0;0;0;0
"1200203";2000;1200203;1;0;0;0;0
"1200252";2000;1200252;0;0;0;0;0
"1200302";2000;1200302;1;0;1;0;0
"1200336";2000;1200336;1;0;0;0;0
"1200344";2000;1200344;0;0;0;0;0
"1200351";2000;1200351;0;0;0;0;0
"1200385";2000;1200385;2;0;0;0;1
"1200393";2000;1200393;0;0;0;0;0
"1200401";2000;1200401;92;0;2;0;17
"1200427";2000;1200427;0;0;0;0;0
"1200450";2000;1200450;2;0;0;0;1
"1200500";2000;1200500;2;0;1;0;0
"1200609";2000;1200609;0;0;0;0;0
"1200708";2000;1200708;0;0;1;0;0
"1200807";2000;1200807;1;0;0;0;0
"1300029";2000;1300029;1;0;0;0;0
"1300060";2000;1300060;0;0;0;0;0
"1300086";2000;1300086;0;0;0;0;1
"1300102";2000;1300102;1;0;0;0;2
"1300144";2000;1300144;3;0;0;0;0
"1300201";2000;1300201;2;0;0;0;0
"1300300";2000;1300300;1;0;0;0;0
"1300409";2000;1300409;0;0;0;0;0
"1300508";2000;1300508;1;0;0;0;0
"1300607";2000;1300607;3;0;0;0;0
"1300631";2000;1300631;1;0;0;0;0
"1300680";2000;1300680;1;0;0;0;0
