uf,cod_mun,municipio,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2016
AC,1200013,Acrelândia,402,742,779,932,968,1068,1033,937,1510,1757,1789
AC,1200054,Assis Brasil,346,368,484,490,423,564,609,596,899,967,1052
AC,1200104,Brasiléia,1113,1314,1837,2102,2033,2107,2000,1866,2359,3166,3591
AC,1200138,Bujari,182,285,712,758,787,777,749,745,894,1165,1311
AC,1200179,Capixaba,340,477,621,686,608,955,845,768,1107,1200,1148
AC,1200203,Cruzeiro do Sul,3228,4312,6625,7098,6799,7824,7610,7411,9090,9514,9830
AC,1200252,Epitaciolândia,630,1030,1089,1405,1370,1374,1267,1161,1431,1580,1590
AC,1200302,Feijó,1491,2603,3270,3408,3186,3885,3706,3540,3800,4565,5330
AC,1200328,Jordão,138,235,566,653,682,736,777,777,997,1106,1140
AC,1200336,Mâncio Lima,998,1018,1717,1848,1771,1768,1682,1762,2400,2459,2766
AC,1200344,Manoel Urbano,582,636,691,707,687,876,904,899,1101,1198,1392
AC,1200351,Marechal Thaumaturgo,493,594,719,1049,1119,1101,1125,1087,1316,2227,2546
AC,1200385,Plácido de Castro,1136,1245,1886,1869,1793,1747,1544,1414,1704,1832,1715
AC,1200393,Porto Walter,102,102,467,494,486,501,501,479,1069,1180,1358
AC,1200401,Rio Branco,12108,17458,20574,21070,19550,22889,21498,19421,24148,24844,25188
AC,1200427,Rodrigues Alves,646,781,1047,1017,1016,1333,1310,1236,1766,2139,2344
AC,1200435,Santa Rosa do Purus,120,164,258,281,270,281,352,363,552,628,692
AC,1200450,Senador Guiomard,590,684,1710,2217,2250,2330,2194,2086,2441,2302,2563
AC,1200500,Sena Madureira,1147,1452,2953,3275,3386,4435,4368,4187,5158,5285,5373
AC,1200609,Tarauacá,1939,2197,2876,3257,3080,3167,3028,2947,3441,4838,5692
AC,1200708,Xapuri,885,956,1189,1243,1275,1398,1291,1209,1579,1826,1990
AC,1200807,Porto Acre,235,255,1334,1495,1498,1484,1386,1381,2007,2272,2395
AL,2700102,Água Branca,1892,2063,2812,2707,2589,2801,3042,3090,3190,3114,2935
AL,2700201,Anadia,1405,2189,2361,2678,2584,2722,2532,2672,2671,2839,2713
AL,2700300,Arapiraca,12796,14732,22150,22106,19677,26762,26197,25139,24434,26023,22198
AL,2700409,Atalaia,2433,2733,4760,5349,5287,6890,7447,7548,8528,7950,7237
AL,2700508,Barra de Santo Antônio,1264,1446,1652,1574,1514,2442,2219,2264,2635,2513,2725
AL,2700607,Barra de São Miguel,175,358,827,776,707,918,954,883,899,916,930
AL,2700706,Batalha,792,1680,2208,2187,2097,2652,2659,2833,2923,2893,2997
AL,2700805,Belém,317,632,1004,943,891,821,870,825,772,729,746
AL,2700904,Belo Monte,771,1034,1127,1116,1073,1256,1291,1407,1535,1532,1442
AL,2701001,Boca da Mata,1546,1680,2382,2309,3184,3764,3978,3991,4087,4225,3930
AL,2701100,Branquinha,1069,1139,1531,1520,1539,1721,1689,1630,1836,1708,1696
AL,2701209,Cacimbinhas,1253,1320,1566,1833,1830,1821,1896,1999,2019,2002,2122
AL,2701308,Cajueiro,1417,1878,2680,2805,2645,3158,3343,3307,3444,3480,3508
AL,2701357,Campestre,158,280,783,865,919,955,1031,1021,1121,1095,1109
AL,2701407,Campo Alegre,3151,3512,4620,4386,4005,3895,4816,5530,6045,6880,6964
AL,2701506,Campo Grande,1060,1143,1409,1592,1465,1601,1577,1696,1872,1960,2016
AL,2701605,Canapi,1489,1915,2702,2776,2783,3048,3185,3302,3554,3354,3502
AL,2701704,Capela,1417,1676,2323,2385,2266,2405,2413,2504,2589,2555,2324
AL,2701803,Carneiros,766,876,1052,1005,962,1275,1360,1371,1453,1418,1505
AL,2701902,Chã Preta,666,661,1033,1132,1237,1190,1201,1250,1267,1233,1233
AL,2702009,Coité do Nóia,991,1367,1680,1747,1614,1826,1959,1984,1985,2024,1857
AL,2702108,Colônia Leopoldina,1501,1764,2267,2512,2415,2756,2877,2870,3029,3369,3438
AL,2702207,Coqueiro Seco,562,659,753,707,708,823,860,828,866,876,784
AL,2702306,Coruripe,3263,4491,4679,4535,4203,6006,6392,7017,7243,7601,5980
AL,2702355,Craíbas,1885,2416,3081,3152,3137,3704,4036,4462,4686,4519,4437
AL,2702405,Delmiro Gouveia,3006,3132,4867,5475,6349,5876,6011,6810,6789,6312,4932
AL,2702504,Dois Riachos,805,832,1675,1787,1747,1887,1994,2195,2163,2183,2051
AL,2702553,Estrela de Alagoas,2098,2367,2802,2981,2796,2952,3139,3099,3103,3097,2709
AL,2702603,Feira Grande,2266,2709,3622,3451,3495,3892,3691,3883,3941,4206,4153
AL,2702702,Feliz Deserto,419,445,559,633,605,611,787,800,883,802,742
AL,2702801,Flexeiras,1239,1498,1994,1848,2016,1943,2202,2185,2340,2169,2136
AL,2702900,Girau do Ponciano,3673,4468,5534,5390,5145,5649,5700,6102,6399,6327,5485
AL,2703007,Ibateguara,996,1209,2096,2323,2293,2598,2613,2614,2699,2834,2475
AL,2703106,Igaci,2892,3768,4450,4696,4547,4508,4613,4667,4763,4671,4792
AL,2703205,Igreja Nova,2720,3231,3532,3414,3521,3333,3763,3622,3468,3515,4082
AL,2703304,Inhapi,2140,2303,2764,2955,2726,3204,3192,2979,3211,3446,3025
AL,2703403,Jacaré dos Homens,510,760,918,887,830,944,966,1016,1046,997,1027
AL,2703502,Jacuípe,652,797,992,1069,1145,1262,1345,1217,1226,1204,1203
AL,2703601,Japaratinga,609,849,935,972,941,1187,1357,1328,1395,1359,1366
AL,2703700,Jaramataia,669,802,871,857,852,1044,1064,1066,1047,1001,992
AL,2703759,Jequiá da Praia,521,594,1191,1875,2069,2141,2058,2068,2179,2147,2136
AL,2703809,Joaquim Gomes,1887,2692,3639,3612,3472,3676,4374,4157,4353,4128,4180
AL,2703908,Jundiá,555,638,673,738,726,766,814,818,786,703,716
AL,2704005,Junqueiro,2190,2351,2757,3294,3467,3810,3988,4225,4245,3955,4048
AL,2704104,Lagoa da Canoa,1804,1870,3152,3064,2945,3137,3192,3119,3159,3272,3258
AL,2704203,Limoeiro de Anadia,2380,2527,3170,3109,2895,3192,3960,4155,4332,4573,4424
AL,2704302,Maceió,37174,38660,61571,67204,67343,79849,82835,87016,89073,90065,59825
AL,2704401,Major Isidoro,2160,2753,2838,2818,2888,3019,3186,3194,3319,3203,3256
AL,2704500,Maragogi,1958,2643,3161,3183,3059,4022,4259,4311,4351,4681,4830
AL,2704609,Maravilha,1494,1757,2007,1923,2084,1980,2006,2022,2046,1986,1964
AL,2704708,Marechal Deodoro,2828,4167,4919,4903,4689,5624,6258,6460,6712,6601,6580
AL,2704807,Maribondo,1138,1457,2093,2305,2212,2331,2350,2332,2157,2019,1770
AL,2704906,Mar Vermelho,335,346,592,610,602,643,692,688,687,659,630
AL,2705002,Mata Grande,2342,2678,3760,3813,3804,3967,4027,4194,4156,4122,3727
AL,2705101,Matriz de Camaragibe,2135,2293,2362,2207,2662,3515,3710,3859,3884,4033,4074
AL,2705200,Messias,927,1142,1921,1808,1490,2193,2263,2294,2316,2343,2027
AL,2705309,Minador do Negrão,639,680,747,904,884,827,869,980,981,881,839
AL,2705408,Monteirópolis,779,856,1212,1195,1079,1121,1250,1293,1350,1294,1367
AL,2705507,Murici,1809,2600,3243,3369,3381,3569,4116,4100,4382,4181,4349
AL,2705606,Novo Lino,596,847,1600,1807,1846,1859,2037,2114,2089,2267,2113
AL,2705705,Olho d'Água das Flores,2100,2789,3033,3009,2789,3014,2916,2620,2924,2861,2724
AL,2705804,Olho d'Água do Casado,852,1153,1335,1288,1210,1345,1424,1361,1300,1383,1534
AL,2705903,Olho d'Água Grande,400,439,712,746,702,881,898,921,933,972,1085
AL,2706000,Olivença,1469,1564,1724,1806,1795,1870,1957,1985,2051,1966,2060
AL,2706109,Ouro Branco,728,1018,1594,1546,1509,1833,2164,2113,2177,2076,2126
AL,2706208,Palestina,622,649,772,751,703,805,879,950,963,972,993
AL,2706307,Palmeira dos Índios,4874,6561,9844,9997,10558,10636,11615,11212,11029,10339,9712
AL,2706406,Pão de Açúcar,2896,3497,4055,3825,3861,3779,4059,4105,4057,4088,3995
AL,2706422,Pariconha,959,1012,1553,1676,1672,1660,1686,1737,1699,1620,1604
AL,2706448,Paripueira,538,555,764,703,1108,1188,1474,1557,1593,1642,1787
AL,2706505,Passo de Camaragibe,1330,1536,2173,2121,2152,2295,2315,2516,2534,2587,2591
AL,2706604,Paulo Jacinto,971,1200,1329,1343,1378,1278,1406,1342,1453,1388,1251
AL,2706703,Penedo,5235,5664,7366,7491,7195,8099,8288,8670,8575,9265,9356
AL,2706802,Piaçabuçu,761,1466,2018,2209,2155,2909,2925,3157,3310,3288,3451
AL,2706901,Pilar,2309,3277,4247,4063,3584,4760,4772,5160,5049,5252,5400
AL,2707008,Pindoba,369,431,510,482,456,447,430,408,426,431,369
AL,2707107,Piranhas,1390,1406,2398,2951,2718,3580,3836,3948,4038,3686,3975
AL,2707206,Poço das Trincheiras,1412,1663,2000,2143,2202,2162,2278,2380,2338,2411,2449
AL,2707305,Porto Calvo,2820,2954,3540,3466,3665,3570,3869,4047,4148,4162,4141
AL,2707404,Porto de Pedras,1034,1090,1290,1227,1315,1472,1494,1584,1600,1624,1666
AL,2707503,Porto Real do Colégio,1714,2055,2621,2800,2712,2940,3375,3533,3494,3576,3659
AL,2707602,Quebrangulo,1348,1928,2175,2065,2195,2092,2232,2095,2200,2098,2197
AL,2707701,Rio Largo,5166,6420,6486,7534,7564,8670,9505,9935,9595,9222,8809
AL,2707800,Roteiro,683,854,1166,1089,996,977,1171,1238,1304,1236,1281
AL,2707909,Santa Luzia do Norte,409,416,632,756,736,905,980,945,954,1004,992
AL,2708006,Santana do Ipanema,4104,4678,5741,6187,5956,6635,6824,7234,7601,7613,7611
AL,2708105,Santana do Mundaú,1413,1707,2010,1917,1716,1631,1588,1443,1696,1735,1664
AL,2708204,São Brás,783,1034,1105,1070,1033,1054,1147,1283,1323,1341,1165
