uf,cod_mun,municipio,a1992,a1993,a1994,a1995,a1997,a1998,a1999,a2000,a2001,a2002,a2003,a2004,a2005,a2006,a2008,a2009,a2011,a2012,a2013,a2014,a2015,a2016,a2017
AC,1200013,Acrelândia,5688,5858,6036,6211,6536,6730,6922,7115,8237,8454,8695,10668,11451,11786,11987,12241,12778,13011,13353,13613,13869,13613,14366
AC,1200054,Assis Brasil,3017,3182,3302,3419,2918,2918,2919,2919,3564,3611,3667,4852,5063,5153,5559,5662,6192,6308,6480,6610,6738,6610,6986
AC,1200104,Brasiléia,14353,14737,15076,15406,13946,13938,13930,13922,17384,17649,17944,16940,17721,18056,19829,20238,21837,22261,22899,23378,23849,23378,24765
AC,1200138,Bujari,3294,3401,3501,3599,4392,4641,4888,5135,6154,6382,6641,7654,8423,8751,6745,6772,8629,8782,9003,9173,9339,9173,9664
AC,1200179,Capixaba,2367,2418,2465,2512,3109,3286,3460,3635,5561,5814,6096,6287,7067,7403,8897,9287,9087,9368,9836,10170,10498,10170,11136
AC,1200203,Cruzeiro do Sul,48901,49782,50674,51544,58922,60817,62691,64573,69772,71571,73488,78785,84335,86725,76392,77004,79173,79819,80377,80953,81519,80953,82622
AC,1200252,Epitaciolândia,7570,7725,7861,7993,9663,10012,10357,10704,11460,11785,12137,12820,13782,14193,13960,14224,15394,15679,16099,16417,16731,16417,17340
AC,1200302,Feijó,17591,17463,17324,17188,23232,24164,25086,26011,27834,28606,29480,35713,38241,39365,32210,32261,32487,32560,32411,32398,32385,32398,32360
AC,1200328,Jordão,4203,4192,4184,4176,3826,3697,3569,3440,4490,4505,4529,4564,4633,4662,6333,6520,6740,6898,7147,7330,7509,7330,7858
AC,1200336,Mâncio Lima,8046,8213,8381,8545,8913,9095,9276,9457,11471,11779,12097,11883,12747,13116,14387,14774,15553,15890,16410,16795,17173,16795,17910
AC,1200344,Manoel Urbano,4629,4560,4518,4477,5719,5889,6058,6226,6581,6737,6905,7152,7636,7843,7405,7505,8104,8224,8386,8514,8641,8514,8886
AC,1200351,Marechal Thaumaturgo,8258,8407,8558,8706,8457,8522,8586,8651,8321,8341,8362,8394,8455,8482,13728,14275,14682,15123,15857,16380,16895,16380,17897
AC,1200385,Plácido de Castro,12856,13235,13621,13998,12031,11971,11911,11852,15502,15759,16031,15931,16691,17014,17921,18235,17401,17587,17795,17979,18159,17979,18510
AC,1200393,Porto Walter,6593,6711,6832,6950,5070,4898,4729,4559,5368,5283,5189,5220,4962,4851,8562,8855,9448,9711,10143,10453,10759,10453,11353
AC,1200401,Rio Branco,189743,195943,201698,207307,240389,249930,259537,269180,261430,267740,274555,286082,305731,314127,301398,305954,342298,348354,357194,363928,370550,363928,383443
AC,1200427,Rodrigues Alves,6800,6930,7061,7189,8964,9360,9752,10145,8276,8398,8540,9347,9796,9989,13020,13460,14832,15260,15968,16475,16974,16475,17945
