uf,cod_mun,municipio,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2016
AC,1200013,Acrelândia,29785,55245,52336,77020,91572,113213,111787,129324,256554,294662,368995
AC,1200054,Assis Brasil,25900,26009,33724,40736,40994,66302,73822,99290,210850,260030,327214
AC,1200104,Brasiléia,80065,91735,129281,179693,201024,224496,216971,252222,418590,542600,767793
AC,1200138,Bujari,13915,20278,53158,66506,80600,85342,82731,105702,184320,221042,284156
AC,1200179,Capixaba,24580,32215,41395,54106,53858,96083,86581,103878,183488,202092,211146
AC,1200203,Cruzeiro do Sul,245460,311515,475236,621400,661763,891167,885897,1130494,1960808,2331712,3019414
AC,1200252,Epitaciolândia,40465,62725,64918,112853,126676,142462,135660,151070,219662,261376,329333
AC,1200302,Feijó,109940,189119,231040,292243,313236,432289,434375,532096,732464,1175984,1761825
AC,1200328,Jordão,11255,17139,44324,60294,73818,91170,94055,135438,270186,307608,396893
AC,1200336,Mâncio Lima,74735,74653,128300,165905,179032,200179,193805,267330,650092,679282,931982
AC,1200344,Manoel Urbano,45090,47490,49590,62697,67922,99965,103090,136936,259820,341654,506361
AC,1200351,Marechal Thaumaturgo,43845,51003,59407,101942,127478,141885,142686,196836,362348,616500,824528
AC,1200385,Plácido de Castro,92055,97840,130157,157828,174038,188937,170114,202104,278624,291294,334136
AC,1200393,Porto Walter,8620,8525,37857,46784,54296,64798,64901,87766,294054,327890,434391
AC,1200401,Rio Branco,818480,1092844,1274506,1564577,1685053,2297839,2248864,2591592,3712530,4009474,5137216
AC,1200427,Rodrigues Alves,47685,57532,87085,98202,113356,163796,161251,205038,420764,435402,612470
AC,1200435,Santa Rosa do Purus,9735,12461,18319,23994,25802,33632,42080,65858,173678,202300,277124
AC,1200450,Senador Guiomard,40380,42289,107604,177494,213670,251644,238993,281984,416288,420072,697524
AC,1200500,Sena Madureira,89520,102752,206307,282142,341404,482937,483842,623804,979198,1109600,1500870
AC,1200609,Tarauacá,144740,160459,215073,290137,320198,375641,366554,474860,886188,1329838,1968338
AC,1200708,Xapuri,68005,67165,81587,100922,115382,148152,142502,173968,286136,337816,393279
AC,1200807,Porto Acre,18425,18750,92120,123962,144210,160769,148833,187276,384612,452464,528299
AL,2700102,Água Branca,149287,155385,205363,232520,247599,302410,331666,425778,663424,683956,827802
AL,2700201,Anadia,100746,141442,151361,211596,216436,260368,248647,328278,351896,388864,453775
AL,2700300,Arapiraca,930612,1010403,1410856,1716744,1710871,2563146,2560069,2947580,3378304,3592836,3714162
AL,2700409,Atalaia,174463,190151,328734,452267,514381,736635,783192,951040,1456438,1341680,1318081
AL,2700508,Barra de Santo Antônio,80242,86991,106233,126572,139468,235185,230219,286566,369128,382040,537019
AL,2700607,Barra de São Miguel,11472,21937,55694,58532,61494,84421,90248,108332,132976,144002,184442
AL,2700706,Batalha,67209,120061,155802,184233,199019,271974,275966,350450,471122,556052,704603
AL,2700805,Belém,20385,39525,66796,75722,81180,84824,88133,98652,118354,118002,149568
AL,2700904,Belo Monte,61517,74665,79433,94605,103541,132094,132948,175428,296456,334612,338533
AL,2701001,Boca da Mata,111210,116213,151656,174222,255136,363312,380380,459026,625802,698304,791532
AL,2701100,Branquinha,75874,75741,95235,113528,128746,166579,162768,210528,262718,245010,293203
AL,2701209,Cacimbinhas,97238,94774,109680,151594,170655,188270,194023,244904,329962,359402,466952
AL,2701308,Cajueiro,99037,122704,179714,233481,247048,336708,350066,431732,522502,516966,575677
AL,2701357,Campestre,10066,16692,48511,65124,80414,101929,112113,135808,174616,177034,213580
AL,2701407,Campo Alegre,228098,235049,286663,335835,336820,366125,486029,678418,783264,849318,998497
AL,2701506,Campo Grande,80942,84001,99866,130639,132650,162167,160282,218876,331644,420606,590570
AL,2701605,Canapi,120918,144538,194842,236101,270177,337100,345329,449884,695488,722856,932769
AL,2701704,Capela,96033,103928,150140,191026,200673,235375,242064,323960,399556,404870,422340
AL,2701803,Carneiros,68258,67890,80009,89776,101354,135291,147906,187232,304726,331190,444211
